"","x","y","Regions","Species.richness","Phylogenetic.diversity","Functional.diversity","Functional.Phylognetic.diversity"
"399",4350000,1850000,12,NA,NA,NA,NA
"400",4450000,1850000,12,NA,NA,NA,NA
"401",4550000,1850000,12,NA,NA,NA,NA
"402",-3350000,1750000,6,NA,NA,NA,NA
"403",-3250000,1750000,3,NA,NA,NA,NA
"404",-3150000,1750000,3,NA,NA,NA,NA
"405",-3050000,1750000,3,NA,NA,NA,NA
"406",-2950000,1750000,3,NA,NA,NA,NA
"407",-2850000,1750000,3,NA,NA,NA,NA
"408",-2750000,1750000,3,NA,NA,NA,NA
"409",-2650000,1750000,3,NA,NA,NA,NA
"410",-2550000,1750000,3,NA,NA,NA,NA
"411",-2450000,1750000,3,0.188405797101449,0.441450411865858,0.845215350579396,1.91463260167085
"412",-2350000,1750000,3,0.188405797101449,0.442554791316503,0.845923202505433,1.91145417268899
"413",-2250000,1750000,3,0.188405797101449,0.442554791316503,0.845923202505433,1.91145417268899
"414",-2150000,1750000,3,0.202898550724638,0.442886676989462,0.846448843739893,1.91120864030876
"415",-2050000,1750000,3,0.217391304347826,0.452163396046494,0.847674396921014,1.87470813500758
"416",-1950000,1750000,3,0.246376811594203,0.47052266964213,0.853092045109255,1.81307320592672
"417",-1750000,1750000,3,0.217391304347826,0.380762134685647,0.836566206759981,2.19708350844981
"418",750000,1750000,3,0.072463768115942,0.302157187221408,0.760145666278817,2.5157292244775
"419",850000,1750000,3,0.072463768115942,0.302157187221408,0.760145666278817,2.5157292244775
"420",1950000,1750000,3,NA,NA,NA,NA
"421",2050000,1750000,3,0.072463768115942,0.25984612110141,0.631148937169793,2.42893345682646
"422",2150000,1750000,3,NA,NA,NA,NA
"423",3350000,1750000,12,0.217391304347826,0.599858960329462,0.871061947255962,1.45211125424808
"424",3450000,1750000,12,0.217391304347826,0.599858960329462,0.871061947255962,1.45211125424808
"425",3550000,1750000,12,0.202898550724638,0.593888395296337,0.860649028738075,1.4491763697599
"426",3650000,1750000,12,NA,NA,NA,NA
"427",3750000,1750000,12,NA,NA,NA,NA
